id,guid,userId,title,videourl,imgurl,cate,playcount,attcount,commentcount,status,videoStatus,insertTime,dealTime,iP,tag,isAsyn,totalTimes,isDel,isShow,intro,width,height,minImgurl,source
36942,abeba116-b9b7-11e8-9339-525400ccac43,89023,奥原希望 vs 马琳(蔡赟 苏木解说) 世界羽联日本公开赛女单决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/cc3ebb765285890781861803747/v.f30.mp4?t=5ba0cde8&us=23005&sign=4ed5563b2d3d984ca3782463eb65ddc7,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/cc3ebb765285890781861803747/snapshot/1537105916_2188918815.100_1491300.jpg,体育视频 羽毛球,2556,19,1,1,1,1537105914,1537106435,210.12.80.209,奥原希望 马琳 蔡赟 苏木 日本公开赛 羽毛球,0,4971,0,1,,1280,720,/uploads/new_upload/video/36942/1537105916_2188918815_min.100_1491300_min.jpg,1
36935,c3be4710-b9b6-11e8-9339-525400ccac43,89023,郑思维/黄雅琼 vs 王懿律/黄东萍(蔡赟 苏木解说) 世界羽联日本公开赛混双决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/be8af0395285890781861248954/v.f30.mp4?t=5ba0cde8&us=93113&sign=3a576ca17b0e890a7f34c52a130117bf,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/be8af0395285890781861248954/snapshot/1537105190_4002663797.100_746700.jpg,体育视频 羽毛球,2276,14,0,1,1,1537105525,1537105896,210.12.80.209,郑思维/黄雅琼 王懿律/黄东萍 蔡赟 苏木 日本公开赛 羽毛球,0,2489,0,1,,1280,720,/uploads/new_upload/video/36935/1537105190_4002663797_min.100_746700_min.jpg,1
36934,c3a587eb-b9b6-11e8-9339-525400ccac43,89023,李俊慧/刘雨辰 vs 费尔纳迪/苏卡穆约(蔡赟 苏木解说) 世界羽联日本公开赛男双决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/be552ef35285890781861219860/v.f30.mp4?t=5ba0cde8&us=98333&sign=826019c28657455be207c5a05cbae522,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/be552ef35285890781861219860/snapshot/1537105224_2167936302.100_810900.jpg,体育视频 羽毛球,2389,18,2,1,1,1537105525,1537105892,210.12.80.209,李俊慧/刘雨辰 费尔纳迪/苏卡穆约 蔡赟 苏木 日本公开赛 羽毛球,0,2703,0,1,,1280,720,/uploads/new_upload/video/36934/1537105224_2167936302_min.100_810900_min.jpg,1
36933,c0ebcf2c-b9b6-11e8-9339-525400ccac43,89023,陈清晨/贾一凡 vs 福岛由纪/广田彩花(蔡赟 苏木解说) 世界羽联日本公开赛女双决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/bec018d85285890781861276781/v.f30.mp4?t=5ba0cde8&us=51556&sign=ef966e45639740810fff0e0ed8754eaa,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/bec018d85285890781861276781/snapshot/1537105378_3459652315.100_1104300.jpg,体育视频 羽毛球,1424,11,3,1,1,1537105520,1537105900,210.12.80.209,陈清晨/贾一凡 福岛由纪/广田彩花 蔡赟 苏木 日本公开赛 羽毛球,0,3681,0,1,,1280,720,/uploads/new_upload/video/36933/1537105378_3459652315_min.100_1104300_min.jpg,1
36932,becb3fd1-b9b6-11e8-9339-525400ccac43,89023,桃田贤斗 vs 科希特(蔡赟 苏木解说) 世界羽联日本公开赛男单决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/be8adad85285890781861248449/v.f30.mp4?t=5ba0cde8&us=03326&sign=f3ce9f295fda915934156fe0e1991a32,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/be8adad85285890781861248449/snapshot/1537105384_189650115.100_1142100.jpg,体育视频 羽毛球,3784,14,0,1,1,1537105517,1537105902,210.12.80.209,桃田贤斗 科希特 蔡赟 苏木 日本公开赛 羽毛球,0,3807,0,1,,1280,720,/uploads/new_upload/video/36932/1537105384_189650115_min.100_1142100_min.jpg,1
36836,8803eb5a-b98b-11e8-9339-525400ccac43,89023,李俊慧/刘雨辰 vs 费尔纳迪/苏卡穆约 2018日本公开赛 男双决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/0a92cbd75285890781855406395/v.f30.mp4?t=5ba0cde8&us=44503&sign=67641d152255aa21528e6dbc726736d9,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/0a92cbd75285890781855406395/snapshot/1537086823_1083672759.100_997200.jpg,体育视频 羽毛球,4210,26,4,1,1,1537086956,1537087218,210.12.80.209,李俊慧/刘雨辰  费尔纳迪/苏卡穆约 2018日本公开赛 男双决赛 体育视频 羽毛球,0,3324,0,1,,1280,720,/uploads/new_upload/video/36836/1537086823_1083672759_min.100_997200_min.jpg,1
36827,bde59c94-b985-11e8-9339-525400ccac43,89023,桃田贤斗 VS 安赛龙 2018日本公开赛 男单半决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/c98abffc5285890781854946455/v.f30.mp4?t=5ba0cde8&us=25144&sign=3b97b6e8c8a3f0efa95875ac03679234,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/c98abffc5285890781854946455/snapshot/1537084084_1228902697.100_977100.jpg,体育视频 羽毛球,2301,9,2,1,1,1537084470,1537084761,210.12.80.209,桃田贤斗 安赛龙 2018日本公开赛 男单半决赛  体育视频 羽毛球,0,3257,0,1,,1280,720,/uploads/new_upload/video/36827/1537084084_1228902697_min.100_977100_min.jpg,1
36820,ec1dfad6-b983-11e8-9339-525400ccac43,89023,奥原希望 vs 马琳 2018日本公开赛 女单决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/c7361af65285890781854847233/v.f30.mp4?t=5ba0cde8&us=47468&sign=97a5449d7bf1630aa52d7a09a53d7fca,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/c7361af65285890781854847233/snapshot/1537083684_1234280842.100_1674600.jpg,体育视频 羽毛球,1229,7,0,1,1,1537083688,1537084487,210.12.80.209,奥原希望   马琳 2018日本公开赛 女单决赛 体育视频 羽毛球,0,5582,0,1,,1280,720,/uploads/new_upload/video/36820/1537083684_1234280842_min.100_1674600_min.jpg,1
36811,446283bd-b976-11e8-9339-525400ccac43,89023,郑思维/黄雅琼 vs 王懿律/黄东萍 2018日本公开赛 混双总决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/7c9fe2a05285890781853951599/v.f30.mp4?t=5ba0cde8&us=48983&sign=de5d2e759a36c94237ec47545c768850,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/7c9fe2a05285890781853951599/snapshot/1537077769_1725268791.100_870600.jpg,体育视频 羽毛球,3320,9,3,1,1,1537077823,1537078170,210.12.80.209,郑思维/黄雅琼 王懿律/黄东萍 2018日本公开赛 混双总决赛 体育视频 羽毛球,0,2902,0,1,,1280,720,/uploads/new_upload/video/36811/1537077769_1725268791_min.100_870600_min.jpg,1
36808,6f9abfa9-b975-11e8-9339-525400ccac43,89023,陈清晨/贾一凡 vs 福岛由纪/广田彩花 世界羽联日本公开赛 女双决赛,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6bf0c28c5285890781853200619/v.f30.mp4?t=5ba0cde8&us=65866&sign=d67e1563b63dbbc1c058e5bab5ad2e5d,http://1252040487.vod2.myqcloud.com/8bdce988vodtransgzp1252040487/6bf0c28c5285890781853200619/snapshot/1537073865_1129684748.100_1287600.jpg,体育视频 羽毛球,597,6,1,1,1,1537077466,1537094523,210.12.80.209,陈清晨/贾一凡 福岛由纪/广田彩花 世界羽联日本公开赛,0,4292,0,1,,1280,720,/uploads/new_upload/video/36808/1537073865_1129684748_min.100_1287600_min.jpg,1
